Label0,Label1,Label2,Label3
646,89697,97393,99273
680,89779,97497,-1
2853,89868,98830,-1
2940,90010,-1,-1
2965,90809,-1,-1
2997,90935,-1,-1
3002,90940,-1,-1
3902,92355,-1,-1
4071,92944,-1,-1
5289,93036,-1,-1
5330,93489,-1,-1
5340,93541,-1,-1
6118,93662,-1,-1
7285,93944,-1,-1
7310,94467,-1,-1
7346,94949,-1,-1
7362,95236,-1,-1
8373,95791,-1,-1
8383,95801,-1,-1
8542,95807,-1,-1
8549,96092,-1,-1
8721,-1,-1,-1
9403,-1,-1,-1
9446,-1,-1,-1
9530,-1,-1,-1
9554,-1,-1,-1
10541,-1,-1,-1
10712,-1,-1,-1
10814,-1,-1,-1
11075,-1,-1,-1
11091,-1,-1,-1
12004,-1,-1,-1
12062,-1,-1,-1
12079,-1,-1,-1
12114,-1,-1,-1
12178,-1,-1,-1
12249,-1,-1,-1
13158,-1,-1,-1
13245,-1,-1,-1
13377,-1,-1,-1
13421,-1,-1,-1
14408,-1,-1,-1
15657,-1,-1,-1
15701,-1,-1,-1
15747,-1,-1,-1
15779,-1,-1,-1
16054,-1,-1,-1
16114,-1,-1,-1
16150,-1,-1,-1
16824,-1,-1,-1
