Label0,Label1,Label2,Label3
276,89821,96698,98912
394,89959,96718,98965
410,90018,96729,99063
430,90207,96744,99115
650,90236,96840,99182
686,90470,96851,99185
717,90492,96865,99188
778,90516,96881,99233
1569,-1,96883,99286
1597,-1,96906,99326
1640,-1,-1,99470
1761,-1,-1,99481
1915,-1,-1,99556
2002,-1,-1,99599
2098,-1,-1,99799
2671,-1,-1,-1
2749,-1,-1,-1
2752,-1,-1,-1
2836,-1,-1,-1
2873,-1,-1,-1
3037,-1,-1,-1
3242,-1,-1,-1
3311,-1,-1,-1
3467,-1,-1,-1
3625,-1,-1,-1
3781,-1,-1,-1
3843,-1,-1,-1
3857,-1,-1,-1
3953,-1,-1,-1
4248,-1,-1,-1
4347,-1,-1,-1
4411,-1,-1,-1
4752,-1,-1,-1
4879,-1,-1,-1
4950,-1,-1,-1
4973,-1,-1,-1
5140,-1,-1,-1
5157,-1,-1,-1
5165,-1,-1,-1
5249,-1,-1,-1
5258,-1,-1,-1
5310,-1,-1,-1
5363,-1,-1,-1
5373,-1,-1,-1
5573,-1,-1,-1
5650,-1,-1,-1
5841,-1,-1,-1
5951,-1,-1,-1
5986,-1,-1,-1
6068,-1,-1,-1
6105,-1,-1,-1
6183,-1,-1,-1
6244,-1,-1,-1
6277,-1,-1,-1
6290,-1,-1,-1
6420,-1,-1,-1
6636,-1,-1,-1
6672,-1,-1,-1
7029,-1,-1,-1
7036,-1,-1,-1
7177,-1,-1,-1
7205,-1,-1,-1
7266,-1,-1,-1
7307,-1,-1,-1
7407,-1,-1,-1
7599,-1,-1,-1
7650,-1,-1,-1
7697,-1,-1,-1
8179,-1,-1,-1
8253,-1,-1,-1
8335,-1,-1,-1
8376,-1,-1,-1
8398,-1,-1,-1
8474,-1,-1,-1
8559,-1,-1,-1
8575,-1,-1,-1
8617,-1,-1,-1
8765,-1,-1,-1
8905,-1,-1,-1
8934,-1,-1,-1
8941,-1,-1,-1
8964,-1,-1,-1
9075,-1,-1,-1
9128,-1,-1,-1
9240,-1,-1,-1
9317,-1,-1,-1
9323,-1,-1,-1
9398,-1,-1,-1
9727,-1,-1,-1
9777,-1,-1,-1
9850,-1,-1,-1
9869,-1,-1,-1
9962,-1,-1,-1
9974,-1,-1,-1
9985,-1,-1,-1
10003,-1,-1,-1
10240,-1,-1,-1
10393,-1,-1,-1
10537,-1,-1,-1
10657,-1,-1,-1
