Label0,Label1,Label2,Label3
1575,89973,97521,-1
3523,90222,-1,-1
3602,91917,-1,-1
5884,92040,-1,-1
6015,92065,-1,-1
8123,92075,-1,-1
10355,96359,-1,-1
10380,-1,-1,-1
10420,-1,-1,-1
20018,-1,-1,-1
20056,-1,-1,-1
20062,-1,-1,-1
22341,-1,-1,-1
22485,-1,-1,-1
27321,-1,-1,-1
27412,-1,-1,-1
32319,-1,-1,-1
32380,-1,-1,-1
32569,-1,-1,-1
35614,-1,-1,-1
43873,-1,-1,-1
46987,-1,-1,-1
49908,-1,-1,-1
50006,-1,-1,-1
52322,-1,-1,-1
52402,-1,-1,-1
55468,-1,-1,-1
55694,-1,-1,-1
58506,-1,-1,-1
58542,-1,-1,-1
66560,-1,-1,-1
66644,-1,-1,-1
66763,-1,-1,-1
68921,-1,-1,-1
69229,-1,-1,-1
71664,-1,-1,-1
71666,-1,-1,-1
71675,-1,-1,-1
74064,-1,-1,-1
74071,-1,-1,-1
79848,-1,-1,-1
79878,-1,-1,-1
82487,-1,-1,-1
82545,-1,-1,-1
82596,-1,-1,-1
88339,-1,-1,-1
