Label0,Label1,Label2,Label3
530,89836.0,96687.0,98910.0
2908,90776.0,96702.0,98911.0
2955,90868.0,96732.0,98932.0
3623,90882.0,96737.0,99070.0
3693,92164.0,96749.0,99100.0
3736,92237.0,96754.0,99151.0
3746,94609.0,96839.0,99296.0
3803,95220.0,96844.0,99305.0
3808,,96890.0,99306.0
4036,,96892.0,99331.0
4448,,96893.0,99394.0
4455,,96908.0,99395.0
5230,,96938.0,99569.0
5354,,96939.0,99683.0
6033,,96981.0,99704.0
6051,,96998.0,99731.0
6562,,97039.0,99755.0
7273,,,99825.0
7290,,,99826.0
7350,,,
7352,,,
7381,,,
7399,,,
7413,,,
7430,,,
7442,,,
7470,,,
7486,,,
8175,,,
8178,,,
8210,,,
8245,,,
8463,,,
8783,,,
9467,,,
9520,,,
9538,,,
10546,,,
10550,,,
10904,,,
10973,,,
11033,,,
11370,,,
12192,,,
12266,,,
12985,,,
12987,,,
13113,,,
13148,,,
13621,,,
