Label0,Label1,Label2,Label3
7,89683,97120,98916
8,89908,97303,99074
312,89916,97476,99133
333,90021,97968,99136
551,90092,98217,99137
1011,90440,98319,99292
1083,90508,98388,99361
1231,90582,98674,99433
1374,90610,-1,99466
1629,90640,-1,99480
1933,-1,-1,99555
2032,-1,-1,99640
2144,-1,-1,99642
2221,-1,-1,99682
2404,-1,-1,99697
2429,-1,-1,-1
2464,-1,-1,-1
2514,-1,-1,-1
2516,-1,-1,-1
2544,-1,-1,-1
2547,-1,-1,-1
2612,-1,-1,-1
2688,-1,-1,-1
3149,-1,-1,-1
3265,-1,-1,-1
3374,-1,-1,-1
3436,-1,-1,-1
3444,-1,-1,-1
3452,-1,-1,-1
3731,-1,-1,-1
3932,-1,-1,-1
3981,-1,-1,-1
4055,-1,-1,-1
4087,-1,-1,-1
4167,-1,-1,-1
4174,-1,-1,-1
4195,-1,-1,-1
4247,-1,-1,-1
4534,-1,-1,-1
4545,-1,-1,-1
4566,-1,-1,-1
4571,-1,-1,-1
4645,-1,-1,-1
4681,-1,-1,-1
4943,-1,-1,-1
5480,-1,-1,-1
5516,-1,-1,-1
5537,-1,-1,-1
5587,-1,-1,-1
5705,-1,-1,-1
6021,-1,-1,-1
6510,-1,-1,-1
6547,-1,-1,-1
6630,-1,-1,-1
6644,-1,-1,-1
6709,-1,-1,-1
6714,-1,-1,-1
6734,-1,-1,-1
6955,-1,-1,-1
7161,-1,-1,-1
7775,-1,-1,-1
7788,-1,-1,-1
7803,-1,-1,-1
7847,-1,-1,-1
7861,-1,-1,-1
8279,-1,-1,-1
8884,-1,-1,-1
8885,-1,-1,-1
8891,-1,-1,-1
9095,-1,-1,-1
9217,-1,-1,-1
9225,-1,-1,-1
9229,-1,-1,-1
9758,-1,-1,-1
9827,-1,-1,-1
9918,-1,-1,-1
9932,-1,-1,-1
10094,-1,-1,-1
10855,-1,-1,-1
11221,-1,-1,-1
11283,-1,-1,-1
11511,-1,-1,-1
11578,-1,-1,-1
11606,-1,-1,-1
11735,-1,-1,-1
11795,-1,-1,-1
11940,-1,-1,-1
11942,-1,-1,-1
11963,-1,-1,-1
12421,-1,-1,-1
12447,-1,-1,-1
12458,-1,-1,-1
12718,-1,-1,-1
12720,-1,-1,-1
12762,-1,-1,-1
12979,-1,-1,-1
13345,-1,-1,-1
13637,-1,-1,-1
13650,-1,-1,-1
13905,-1,-1,-1
