Label0,Label1,Label2,Label3
1962,90140,96919,98899
2134,92482,96920,98900
2168,-1,97176,98980
4097,-1,97243,99245
4227,-1,97340,99689
4229,-1,97341,99695
4235,-1,97391,99724
4375,-1,97553,99725
6271,-1,97618,99770
6273,-1,97621,-1
-1,-1,97726,-1
-1,-1,97731,-1
-1,-1,97732,-1
-1,-1,97741,-1
-1,-1,97858,-1
-1,-1,97865,-1
-1,-1,97911,-1
-1,-1,97915,-1
-1,-1,97924,-1
-1,-1,97925,-1
-1,-1,97926,-1
-1,-1,98211,-1
-1,-1,98264,-1
-1,-1,98354,-1
-1,-1,98422,-1
-1,-1,98466,-1
-1,-1,98643,-1
-1,-1,98650,-1
-1,-1,98714,-1
-1,-1,98803,-1
