Label0,Label1,Label2,Label3
57,89744,96752,98983
119,89850,96828,-1
413,89863,96855,-1
1079,89919,96867,-1
1187,-1,97045,-1
1283,-1,97047,-1
1402,-1,97078,-1
1516,-1,97080,-1
1703,-1,97201,-1
1733,-1,97232,-1
2132,-1,-1,-1
2349,-1,-1,-1
2633,-1,-1,-1
2701,-1,-1,-1
2754,-1,-1,-1
3145,-1,-1,-1
3248,-1,-1,-1
3282,-1,-1,-1
3319,-1,-1,-1
3330,-1,-1,-1
3384,-1,-1,-1
3421,-1,-1,-1
3470,-1,-1,-1
3483,-1,-1,-1
3571,-1,-1,-1
3650,-1,-1,-1
3862,-1,-1,-1
3874,-1,-1,-1
4012,-1,-1,-1
4039,-1,-1,-1
4240,-1,-1,-1
4298,-1,-1,-1
4432,-1,-1,-1
4435,-1,-1,-1
4621,-1,-1,-1
4870,-1,-1,-1
4878,-1,-1,-1
4887,-1,-1,-1
4957,-1,-1,-1
5031,-1,-1,-1
5099,-1,-1,-1
5328,-1,-1,-1
5512,-1,-1,-1
5608,-1,-1,-1
5744,-1,-1,-1
5984,-1,-1,-1
6188,-1,-1,-1
6252,-1,-1,-1
6720,-1,-1,-1
7242,-1,-1,-1
7374,-1,-1,-1
7658,-1,-1,-1
7891,-1,-1,-1
8310,-1,-1,-1
8580,-1,-1,-1
8677,-1,-1,-1
8698,-1,-1,-1
