Label0,Label1,Label2,Label3
22,89979.0,96805.0,99156.0
138,89995.0,96815.0,
508,90294.0,96820.0,
596,90697.0,96843.0,
640,,96914.0,
694,,96965.0,
697,,96971.0,
958,,97026.0,
1349,,97166.0,
1591,,97295.0,
1655,,97315.0,
2006,,97401.0,
2058,,97406.0,
2062,,97439.0,
2080,,97441.0,
2112,,97452.0,
2365,,97473.0,
2455,,97609.0,
2803,,97660.0,
2877,,97664.0,
3368,,97717.0,
3614,,97724.0,
3619,,97827.0,
3670,,97845.0,
3677,,97898.0,
3924,,98057.0,
4077,,98118.0,
4186,,98136.0,
4209,,98137.0,
4548,,98241.0,
5629,,98263.0,
6017,,98311.0,
6040,,98367.0,
6163,,98593.0,
6339,,98595.0,
6353,,98715.0,
6484,,98782.0,
6528,,98808.0,
6535,,98810.0,
6552,,98856.0,
6581,,,
6596,,,
6748,,,
6795,,,
6872,,,
7067,,,
7301,,,
7603,,,
7632,,,
8238,,,
8269,,,
8295,,,
8481,,,
8723,,,
8758,,,
8995,,,
9119,,,
